,Region,2021,2022,2023,2024,2025
0,AL & FL,680709,863776,743114,714559,607545
1,AR,1211655,1389079,1184950,1639965,1312569
2,AZ & NM,377916,373795,287449,327968,263056
3,CA,275027,322003,203807,284835,300060
4,GA,2724818,3285003,2463551,2379306,2218594
5,KS & OK,803146,432715,390544,492820,692466
6,LA,255930,413815,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1061060,1257975,941894,1180144,866662
9,NC & VA,983077,1277299,979736,1096419,930052
10,SC,397329,439319,317943,326930,285490
11,TN,1141253,1436318,1407072,1573756,934873
12,TX,8211674,3465156,3115180,4786833,6074651
