,Region,2021,2022,2023,2024,2025
0,AL & FL,672947,851865,742290,704331,605899
1,AR,1193225,1349849,1152522,1621800,1283763
2,AZ & NM,352001,341422,276491,303279,239348
3,CA,273397,319244,202510,279818,284345
4,GA,2635972,3168359,2380307,2252196,2084917
5,KS & OK,766828,424205,389549,475907,653927
6,LA,255930,412583,244549,379254,264542
7,MO,315831,398195,382134,388113,320299
8,MS,1029475,1254937,932273,1161455,820463
9,NC & VA,969642,1247953,949364,1031904,895397
10,SC,396400,437664,315342,322899,278777
11,TN,1122668,1381504,1354720,1509556,879968
12,TX,7959201,3401249,3076919,4592553,5810916
