,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,720219,705962,26531,65827,147175,763,622,678,149238
1,AR,1727327,1582512,353096,197644,609549,1551,1073,781,612954
2,AZ & NM,336134,331915,128197,19042,185230,4624,2598,501,192953
3,CA,285457,285457,110150,5347,139876,4203,2751,1212,148042
4,GA,2770078,1949408,86023,341912,604847,10241,1381,1822,618291
5,KS & OK,540021,425132,10019,71415,133711,730,829,440,135710
6,LA,379254,379254,35977,16419,63217,387,825,549,64978
7,MO,388113,388113,77448,33462,117134,67,159,250,117610
8,MS,1346405,1104908,261586,195205,531434,7871,2490,905,542700
9,NC & VA,1233011,1002599,95925,141520,496923,5606,1778,1047,505354
10,SC,351993,321234,41720,50899,119050,572,199,368,120189
11,TN,1723278,1410498,374765,242229,743058,3657,869,2632,750216
12,TX,5394673,4025555,299734,247547,1138585,25681,20219,21694,1206179
13,--TOTAL,17195963,13912547,1901171,1628468,5029789,65953,35793,32879,5164414
