,Region,2021,2022,2023,2024,2025
0,AL & FL,151121,328112,295347,330342,243491
1,AR,503131,582345,666166,834792,700917
2,AZ & NM,46060,49235,35429,35951,21975
3,CA,92147,97283,42778,63536,73825
4,GA,457524,895206,514714,487172,471012
5,KS & OK,170856,90973,99194,120128,119691
6,LA,173204,338757,219038,286974,188559
7,MO,111545,169344,162175,204642,135731
8,MS,437265,727594,641805,755007,515173
9,NC & VA,328625,456883,284448,278355,261838
10,SC,93707,125521,74985,91950,45485
11,TN,420371,557153,640353,744527,488697
12,TX,2715144,1578831,1465707,2043592,2022648
