,Region,2021,2022,2023,2024,2025
0,AL & FL,655829,824028,739101,690992,589369
1,AR,1160959,1275140,1138511,1572666,1251917
2,AZ & NM,290790,268889,244422,238682,191559
3,CA,268475,296013,198817,265446,254964
4,GA,2394879,2951266,2222443,2045991,1885999
5,KS & OK,678781,408963,376443,451934,555040
6,LA,255796,398522,244549,379202,264266
7,MO,313961,394509,375905,384789,320299
8,MS,978325,1250086,930334,1148003,774525
9,NC & VA,947730,1204424,935561,997942,851110
10,SC,363542,421912,304773,309208,270688
11,TN,1085218,1325145,1282956,1445420,833893
12,TX,7289115,3263633,3028414,4315141,5306522
