,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,720579,706146,25412,55590,128663,717,628,674,130682
1,AR,1731586,1582512,349140,175297,574659,1537,1073,781,578050
2,AZ & NM,336203,331915,127811,15462,179989,3988,2598,501,187076
3,CA,285457,285457,109222,4023,136999,4203,2751,1212,145165
4,GA,2807626,1949408,96455,282208,557570,10115,1316,1815,570816
5,KS & OK,540974,425132,8859,67000,117986,668,831,440,119925
6,LA,379254,379254,32922,18144,59882,387,825,549,61643
7,MO,388113,388113,76638,25672,108152,67,159,250,108628
8,MS,1369009,1104908,264731,183175,523856,7581,2400,904,534741
9,NC & VA,1241676,1002773,96471,123616,469943,5587,1711,1047,478288
10,SC,358028,321234,45958,44015,116362,549,199,337,117447
11,TN,1740007,1410498,371113,218688,712196,3657,869,2632,719354
12,TX,5435446,4025555,288797,219025,1094264,25264,19946,21694,1161168
13,--TOTAL,17333958,13912905,1893529,1431915,4780521,64320,35306,32836,4912983
