,Region,2021,2022,2023,2024,2025
0,AL & FL,165910,345812,315916,353850,264478
1,AR,534437,601380,709252,869034,749522
2,AZ & NM,52401,50874,39418,41514,27691
3,CA,102676,101384,44777,72058,79965
4,GA,512072,936527,577342,550436,519002
5,KS & OK,181940,96643,107976,131068,130485
6,LA,180178,339698,223518,298633,198294
7,MO,119257,175195,175707,218770,144671
8,MS,461323,756013,682798,803059,534314
9,NC & VA,359372,476526,321446,319482,291551
10,SC,102683,127862,83842,101384,51953
11,TN,444957,576966,680038,796409,522066
12,TX,2835450,1610238,1548331,2129813,2151741
