,Region,2021,2022,2023,2024,2025
0,AL & FL,726396,886074,774123,720219,625908
1,AR,1256481,1468867,1261321,1717422,1338556
2,AZ & NM,390213,393245,299531,335706,276273
3,CA,276920,323517,204697,285457,304939
4,GA,3071155,3479005,2646348,2719891,2517511
5,KS & OK,830563,478128,404504,537910,815761
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1169345,1304986,1035881,1303195,982338
9,NC & VA,1077905,1358972,1118641,1211006,1068688
10,SC,419386,450981,332784,345461,293595
11,TN,1173481,1527542,1540121,1707267,1012198
12,TX,8690629,3624725,3440506,5284135,6780350
