,Region,2021,2022,2023,2024,2025
0,AL & FL,651073,811661,732273,688816,587778
1,AR,1156041,1250933,1137291,1560919,1250190
2,AZ & NM,280294,256941,227551,234841,190119
3,CA,268473,291838,198582,264071,254515
4,GA,2356652,2891103,2180577,2016398,1870430
5,KS & OK,657698,395227,374921,445780,545164
6,LA,255754,398513,244549,379169,264266
7,MO,311773,393195,375765,383806,320299
8,MS,973327,1247586,930334,1147308,771389
9,NC & VA,944069,1198083,930591,993401,845619
10,SC,358360,407565,297830,306755,267914
11,TN,1075745,1310467,1278302,1440161,831852
12,TX,7127674,3231043,3007782,4279954,5236070
