,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,610369,599816,17251,155587,292600,1920,307,1066,295893
1,AR,1320738,1240091,131084,335215,854361,6760,162,1501,862784
2,AZ & NM,271106,271106,108447,80485,216771,15937,1642,1666,236016
3,CA,304939,304939,165690,14778,218223,26273,2924,3335,250755
4,GA,2366968,1798441,24611,684742,1084270,27007,4902,2698,1118877
5,KS & OK,752495,711256,58912,158489,409464,910,139,505,411018
6,LA,264630,264278,6310,57774,106493,362,112,1240,108207
7,MO,320299,320299,48755,86905,200357,819,37,135,201348
8,MS,898229,699796,55000,164065,494408,3053,364,2735,500560
9,NC & VA,987567,835179,23900,184666,486279,10850,2608,1994,501731
10,SC,290736,274018,1115,67931,183261,1440,166,489,185356
11,TN,972774,850535,246280,222089,704439,12797,1408,1718,720362
12,TX,6263865,5201387,509083,964682,3122889,103704,17494,31935,3276022
13,--TOTAL,15624715,13371141,1396438,3177408,8373815,211832,32265,51017,8668929
