,Region,2021,2022,2023,2024,2025
0,AL & FL,648308,808155,728087,684978,584082
1,AR,1151955,1247831,1137291,1542670,1244739
2,AZ & NM,267325,254332,226273,218524,175655
3,CA,266295,289201,198430,255655,245988
4,GA,2314322,2868189,2160262,1957326,1824620
5,KS & OK,639541,390090,374181,434892,524989
6,LA,255733,398513,244549,379169,264248
7,MO,306709,392379,373165,378706,318503
8,MS,966791,1246132,930334,1144872,762015
9,NC & VA,940577,1193911,929842,983519,831116
10,SC,347627,393589,293131,301117,262661
11,TN,1070846,1303069,1277675,1426317,824867
12,TX,7013124,3210857,3004576,4216458,5107553
