,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,720843,706146,23573,32384,94224,709,626,666,96225
1,AR,1733435,1582512,317875,120241,479655,1533,1069,781,483038
2,AZ & NM,339115,331915,122294,7822,162280,3950,2547,493,169270
3,CA,285457,285457,102836,7342,130395,4203,2751,1212,138561
4,GA,2859753,1949409,100008,189750,444000,10012,1256,1815,457083
5,KS & OK,541150,425132,6833,16366,58478,649,831,440,60398
6,LA,379254,379254,26688,15545,47335,387,825,549,49096
7,MO,388113,388113,66790,18643,91269,67,159,250,91745
8,MS,1401806,1104908,254841,149633,461711,7402,2381,904,472398
9,NC & VA,1257084,1002773,96833,101749,420030,5234,1713,1047,428024
10,SC,362059,321234,44676,37066,103828,383,199,335,104745
11,TN,1792556,1410500,307056,193094,647895,3442,768,2640,654745
12,TX,5514747,4025555,268261,178077,968325,24537,19866,21684,1034412
13,--TOTAL,17575372,13912908,1738564,1067712,4109425,62508,34991,32816,4239740
