,Region,2021,2022,2023,2024,2025
0,AL & FL,709880,879049,767942,719250,618151
1,AR,1239310,1452066,1240287,1697046,1334443
2,AZ & NM,389400,389476,297311,333374,276273
3,CA,276752,323516,204197,285457,304939
4,GA,2947590,3416355,2600588,2624275,2440703
5,KS & OK,829914,470665,396638,526208,781546
6,LA,256000,414600,244549,379254,264630
7,MO,315831,398195,382222,388113,320299
8,MS,1139804,1275650,1016958,1248802,930056
9,NC & VA,1063438,1344208,1088357,1185782,1034080
10,SC,410683,443274,325191,339436,292213
11,TN,1152124,1507663,1486963,1687381,990797
12,TX,8550771,3576232,3343960,5145710,6489785
