,Region,2021,2022,2023,2024,2025
0,AL & FL,661503,826555,739627,692647,595947
1,AR,1165177,1285077,1138511,1594895,1257552
2,AZ & NM,304079,277639,250694,255471,208523
3,CA,271019,301090,199810,267302,260441
4,GA,2462265,2987408,2244977,2081500,1935702
5,KS & OK,699918,412747,377613,458371,585677
6,LA,255825,398610,244549,379220,264366
7,MO,314993,395409,375905,384789,320299
8,MS,992041,1250182,930334,1148647,789162
9,NC & VA,951042,1211755,937753,1003042,861559
10,SC,370451,426641,307810,314512,276747
11,TN,1091670,1332548,1290350,1452198,847858
12,TX,7432521,3291936,3037113,4363931,5445589
