,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,610369,599816,15562,153882,286247,1920,307,1066,289540
1,AR,1321438,1240091,131784,332055,841324,6592,162,1501,849579
2,AZ & NM,271106,271106,108448,79250,214659,15057,1642,1666,233024
3,CA,304939,304939,165427,14510,217181,26273,2924,3335,249713
4,GA,2378204,1798441,24699,665718,1054481,26662,4897,2685,1088725
5,KS & OK,756189,714157,65168,179686,406852,910,139,416,408317
6,LA,264630,264278,6310,54934,103389,362,112,1240,105103
7,MO,320299,320299,48755,84539,195952,819,37,135,196943
8,MS,903365,699796,55354,169535,490940,3053,364,2734,497091
9,NC & VA,993591,835179,24979,181487,479006,10854,2608,1993,494461
10,SC,291082,274018,1461,67036,180953,1355,166,489,182963
11,TN,974744,850535,247511,233958,697114,12531,1429,1745,712819
12,TX,6294884,5202635,506188,1029101,3081994,100878,17494,31935,3232301
13,--TOTAL,15684840,13375290,1401646,3245691,8250092,207266,32281,50940,8540579
