,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,622118,599839,9719,94653,199754,1578,307,1066,202705
1,AR,1337134,1240091,126431,321719,692144,5096,161,1244,698645
2,AZ & NM,276273,271867,106705,41950,182752,7581,1641,1666,193640
3,CA,304939,304939,125260,12123,174707,25001,2798,1066,203572
4,GA,2496664,1798901,24845,409226,691970,23229,4873,2654,722726
5,KS & OK,806219,748711,68398,181169,367631,630,127,339,368727
6,LA,264630,264278,5596,30580,62885,286,106,542,63819
7,MO,320299,320299,50922,52890,149072,457,31,135,149695
8,MS,965027,699823,53675,163782,448195,2220,370,1740,452525
9,NC & VA,1058419,835971,25607,128448,410142,7569,2595,1899,422205
10,SC,293067,274169,3161,68436,140667,1215,166,451,142499
11,TN,1005034,850535,190808,212676,617625,9700,1604,1697,630626
12,TX,6682877,5208081,458974,825265,2506722,83543,16682,31835,2638782
13,--TOTAL,16432700,13417504,1250101,2542917,6644266,168105,31461,46334,6890166
