,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,632510,599839,4686,30201,73665,824,292,803,75584
1,AR,1349264,1240091,64752,140569,275644,3080,118,747,279589
2,AZ & NM,278895,271867,85244,6325,110259,6033,1416,1120,118828
3,CA,304939,304939,49689,22764,84009,18278,1936,1062,105285
4,GA,2642201,1798901,20079,111319,212871,13618,1329,2530,230348
5,KS & OK,836921,760012,11681,34739,70228,209,59,231,70727
6,LA,264630,264278,2044,9326,16383,274,105,542,17304
7,MO,320299,320299,31425,27196,71958,430,15,129,72532
8,MS,1065471,699823,24789,125119,213685,1514,375,1003,216577
9,NC & VA,1089052,836142,17667,84157,205432,4197,1724,1826,213179
10,SC,294777,275088,2719,16568,43892,318,164,445,44819
11,TN,1118183,850589,156836,95980,325725,7960,449,675,334809
12,TX,7462988,5208121,109360,283340,1120571,44170,14638,29833,1209212
13,--TOTAL,17660130,13429989,580971,987603,2824322,100905,22620,40946,2988793
