,Region,2021,2022,2023,2024,2025
0,AL & FL,697740,873282,758084,717226,610369
1,AR,1231794,1429392,1221780,1680759,1321438
2,AZ & NM,388270,386857,295460,332072,271106
3,CA,276743,323515,203899,285393,304939
4,GA,2863206,3366581,2551132,2537425,2378204
5,KS & OK,828790,459861,390598,507384,756189
6,LA,255930,414338,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1104657,1263265,980149,1211723,903365
9,NC & VA,1031453,1315826,1055846,1156396,994217
10,SC,403996,440534,322388,334567,291082
11,TN,1148767,1478752,1443285,1654686,974744
12,TX,8433992,3530717,3234513,5033669,6295058
