,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,720843,706146,24624,40718,107643,709,626,674,109652
1,AR,1732392,1582512,338845,146291,531771,1533,1069,781,535154
2,AZ & NM,337673,331915,125861,12411,171953,3950,2547,493,178943
3,CA,285457,285457,106718,3602,132749,4203,2751,1212,140915
4,GA,2839859,1949408,108463,217266,494624,10118,1267,1815,507824
5,KS & OK,540974,425132,8155,34803,79777,666,831,440,81714
6,LA,379254,379254,28888,17022,54094,387,825,549,55855
7,MO,388113,388113,70445,23002,100695,67,159,250,101171
8,MS,1387869,1104908,265218,165560,497237,7486,2381,904,508008
9,NC & VA,1249010,1002773,96523,116348,448141,5236,1713,1047,456137
10,SC,360735,321234,46970,37566,108829,549,199,335,109912
11,TN,1766048,1410500,334616,205129,688442,3648,871,2632,695593
12,TX,5474044,4025555,286993,193817,1023353,24881,19946,21691,1089871
13,--TOTAL,17462271,13912907,1842319,1213535,4439308,63433,35185,32823,4570749
