,Region,2021,2022,2023,2024,2025
0,AL & FL,680709,864583,743114,714648,607632
1,AR,1213659,1393575,1184950,1641801,1314663
2,AZ & NM,380301,374520,287449,328085,264656
3,CA,276382,322003,203807,284915,302853
4,GA,2740483,3298925,2463551,2382609,2242253
5,KS & OK,806950,434735,390544,493829,699211
6,LA,255930,413991,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1067184,1258327,941894,1182605,871605
9,NC & VA,985160,1280817,980445,1098736,934058
10,SC,397775,439407,317943,327311,286549
11,TN,1142203,1444533,1407072,1578984,938270
12,TX,8236675,3471825,3116968,4797329,6104773
