,Region,2021,2022,2023,2024,2025
0,AL & FL,649481,810731,728087,685712,585233
1,AR,1153524,1250933,1137291,1554003,1246699
2,AZ & NM,276415,256800,226534,226914,181095
3,CA,268122,290924,198430,257067,249978
4,GA,2335451,2887637,2163565,1983185,1834906
5,KS & OK,646665,394069,374181,440088,531393
6,LA,255733,398513,244549,379169,264266
7,MO,308269,392379,374465,379506,320299
8,MS,969184,1247586,930334,1145831,765404
9,NC & VA,942158,1196023,930034,986181,834876
10,SC,349078,399776,294018,303512,264471
11,TN,1073341,1310167,1277675,1433884,826597
12,TX,7060265,3222806,3005424,4235219,5153981
