,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,574826,572468,174150,99995,511608,3625,315,1104,516652
1,AR,1227381,1215658,1016361,104303,1138291,16796,163,1510,1156760
2,AZ & NM,154859,154859,93434,15263,151868,29637,2347,1668,185520
3,CA,233875,233875,179274,7046,221110,37834,3029,3365,265338
4,GA,1727755,1651355,384382,391399,1584037,44059,5087,2837,1636020
5,KS & OK,478674,475364,76421,63827,414428,1727,160,523,416838
6,LA,264248,264248,158588,42347,214709,803,114,1270,216896
7,MO,309003,309003,254474,24752,291082,3332,37,199,294650
8,MS,743526,699796,517819,95780,631737,10389,373,3024,645523
9,NC & VA,804888,794322,228639,141700,729659,25821,3101,2339,760920
10,SC,247446,245591,142767,28703,238941,3364,196,524,243025
11,TN,811756,793827,657927,66481,749755,34102,1423,1784,787064
12,TX,4799347,4573834,1639665,521226,3794171,172820,18309,38197,4023497
13,--TOTAL,12377584,11984200,5523901,1602822,10671396,384309,34654,58344,11148703
