,State,Total Issued 2026,Total New Issued 2026,Held by CCC 2026,Under Shipping Order,Open 2026,Open 2025,Open 2024,Open 2023 and earlier,Total Open
0,AL & FL,0,0,0,32122,0,58385,823,1065,60273
1,AR,0,0,0,111129,0,227051,1464,839,229354
2,AZ & NM,0,0,0,4482,0,99392,5329,2251,106972
3,CA,0,0,0,15877,0,65529,16398,2747,84674
4,GA,0,0,0,82700,0,168007,9328,3664,180999
5,KS & OK,0,0,0,8718,0,28739,102,243,29084
6,LA,0,0,0,7893,0,12642,274,630,13546
7,MO,0,0,0,15447,0,54591,423,144,55158
8,MS,0,0,0,100275,0,165833,1212,1329,168374
9,NC & VA,0,0,0,73458,0,169935,3857,3528,177320
10,SC,0,0,0,12456,0,34094,317,609,35020
11,TN,0,0,90,75234,0,267728,4458,946,273132
12,TX,95082,95082,4735,184279,95082,867308,35242,41816,1039448
13,--TOTAL,95082,95082,4825,724070,95082,2219234,79227,59811,2453354
