,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,607982,599816,70207,130191,331431,1947,307,1066,334751
1,AR,1318561,1240091,646446,208435,919613,8023,162,1501,929299
2,AZ & NM,267603,267603,120670,67657,227059,17693,1642,1666,248060
3,CA,304325,304325,187947,8003,228676,27209,2926,3335,262146
4,GA,2290988,1798153,230235,684113,1247744,29182,4964,2750,1284640
5,KS & OK,721822,694295,99657,160637,448592,910,139,505,450146
6,LA,264630,264278,77676,29074,119177,362,112,1242,120893
7,MO,320299,320299,118226,73266,222124,844,37,198,223203
8,MS,881537,699796,396141,87892,510076,3527,369,2746,516718
9,NC & VA,952362,833141,123662,196602,527961,12720,2676,2020,545377
10,SC,287597,274018,120011,41058,198864,1458,166,489,200977
11,TN,953657,850489,558834,120527,719820,14339,1405,1736,737300
12,TX,6172036,5190205,1156329,701028,3398807,118269,17668,32030,3566774
13,--TOTAL,15343399,13336509,3906041,2508483,9099944,236483,32573,51284,9420284
