,Region,2021,2022,2023,2024,2025
0,AL & FL,729473,890386,777548,720843,629414
1,AR,1267370,1499317,1267273,1736197,1349189
2,AZ & NM,390822,394725,302414,339115,277940
3,CA,276934,323517,204697,285457,304939
4,GA,3187481,3619037,2762931,2880103,2611714
5,KS & OK,845176,498139,406675,541150,834376
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1187808,1373159,1083444,1413443,1041855
9,NC & VA,1104946,1380090,1146060,1264073,1084311
10,SC,434863,461267,339213,362918,294777
11,TN,1207747,1549858,1610831,1810911,1094151
12,TX,8906605,3740594,3607115,5545746,7309276
