,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,632251,599839,6279,35458,80869,827,304,1060,83060
1,AR,1349264,1240091,68489,139663,283000,3089,118,751,286958
2,AZ & NM,278895,271867,87910,3218,111058,6033,1416,1120,119627
3,CA,304939,304939,51917,21276,88185,18278,1936,1062,109461
4,GA,2636579,1798901,20380,116699,215155,14054,1329,2530,233068
5,KS & OK,836921,760012,11681,38821,80355,216,60,231,80862
6,LA,264630,264278,2044,12067,19191,274,105,542,20112
7,MO,320299,320299,33247,25772,73991,430,15,129,74565
8,MS,1062399,699823,24959,131211,222740,1514,375,1003,225632
9,NC & VA,1088007,836142,18330,83830,210821,4197,1724,1826,218568
10,SC,294777,275088,2820,17169,45318,331,164,445,46258
11,TN,1117365,850589,163507,93839,332636,7951,449,675,341711
12,TX,7448573,5208121,128957,317508,1172050,45245,15327,29838,1262460
13,--TOTAL,17634899,13429989,620520,1036531,2935369,102439,23322,41212,3102342
