,Region,2021,2022,2023,2024,2025
0,AL & FL,726396,886074,774123,720219,625908
1,AR,1258065,1468867,1261395,1717678,1338556
2,AZ & NM,390213,393245,300031,335906,276273
3,CA,276920,323517,204697,285457,304939
4,GA,3074479,3479005,2647568,2725994,2522280
5,KS & OK,830563,478128,404762,538287,816914
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1171478,1304986,1036057,1308021,986148
9,NC & VA,1078494,1358972,1119350,1213373,1069240
10,SC,419650,450981,333219,346149,293595
11,TN,1174700,1527542,1541350,1708882,1013361
12,TX,8694013,3624725,3443178,5293995,6796106
