,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,501136,500872,175687,68638,468911,5061,315,1104,475391
1,AR,1150823,1146649,987049,56051,1119117,23374,172,1520,1144183
2,AZ & NM,91693,91693,49040,13506,91693,37356,2386,1672,133107
3,CA,170166,170166,137723,5416,169368,43167,3029,3365,218929
4,GA,1272478,1245635,292079,183916,1216743,51723,5230,2862,1276558
5,KS & OK,325462,325286,50942,24426,310100,2395,469,654,313618
6,LA,260183,260183,190887,22565,232206,1251,114,1270,234841
7,MO,258647,258647,196881,20338,251984,5296,37,199,257516
8,MS,691839,685486,561225,42456,650647,14965,374,3026,669012
9,NC & VA,683636,680706,253817,65111,651740,31099,3110,2412,688361
10,SC,169841,168604,99913,18822,167294,4624,229,524,172671
11,TN,749079,736037,633711,50554,719526,44444,1445,1785,767200
12,TX,3731492,3594688,1069442,334930,3029434,201383,18773,38627,3288217
13,--TOTAL,10056475,9864652,4698396,906729,9078763,466138,35683,59020,9639604
