,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,605899,599667,185528,119963,428332,2485,310,1077,432204
1,AR,1283763,1238113,938087,98464,1037446,10417,162,1501,1049526
2,AZ & NM,239348,239348,158776,40222,221948,26064,2083,1667,251762
3,CA,284345,284345,192820,27336,249072,31303,2968,3365,286708
4,GA,2084917,1797209,485730,571270,1520126,32264,4986,2830,1560206
5,KS & OK,653927,643121,105367,105445,492770,1052,139,516,494477
6,LA,264542,264278,123750,25958,157643,363,114,1269,159389
7,MO,320299,320299,235583,22363,262196,1044,37,198,263475
8,MS,820463,699796,494089,66561,573284,6621,371,2754,583030
9,NC & VA,895397,829791,211343,172181,652622,16959,2826,2040,674447
10,SC,278777,274018,151614,28774,233305,1874,196,524,235899
11,TN,879968,831482,667496,56824,736117,20542,1403,1782,759844
12,TX,5810916,5134288,2035317,623827,3927377,145188,18042,33855,4124462
13,--TOTAL,14422561,13155755,5985500,1959188,10492238,296176,33637,53378,10875429
