,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,619386,599839,9833,102273,210192,1578,307,1066,213143
1,AR,1335973,1240091,128947,338371,721658,5194,161,1333,728346
2,AZ & NM,276273,271867,107151,47996,189761,7581,1641,1666,200649
3,CA,304939,304939,131369,13673,182337,25089,2798,2007,212231
4,GA,2474445,1798901,24230,468126,749462,24254,4882,2655,781253
5,KS & OK,797229,742359,67755,179414,372340,656,127,339,373462
6,LA,264630,264278,5774,36600,69962,286,110,978,71336
7,MO,320299,320299,51012,62287,158756,520,34,135,159445
8,MS,948819,699823,54887,170866,457224,2406,364,1828,461822
9,NC & VA,1050342,835348,24714,146901,424863,7907,2602,1993,437365
10,SC,292300,274018,2545,71764,146038,1249,166,451,147904
11,TN,997247,850535,210447,216830,630772,9904,1609,1704,643989
12,TX,6609837,5208081,465061,896874,2607370,88068,16985,31854,2744277
13,--TOTAL,16291719,13410378,1283725,2751975,6920735,174692,31786,48009,7175222
