,Region,2021,2022,2023,2024,2025
0,AL & FL,404187,583731,543727,552616,468132
1,AR,913199,947869,991790,1213250,1099652
2,AZ & NM,124299,125717,105903,97799,76387
3,CA,184719,195672,130040,159879,155517
4,GA,1191395,1782882,1288054,1150007,1116537
5,KS & OK,360263,223790,238451,258089,281680
6,LA,242969,388289,243884,359634,253479
7,MO,198408,276133,282031,309860,235548
8,MS,808077,1101170,885266,1063056,671791
9,NC & VA,689395,847771,682595,672295,606757
10,SC,203444,236487,179881,199885,140326
11,TN,829713,966774,1072131,1196624,722027
12,TX,4659432,2370696,2400184,3048611,3412129
