,Region,2021,2022,2023,2024,2025
0,AL & FL,666982,838197,740848,697120,601674
1,AR,1177292,1318405,1139366,1612212,1263773
2,AZ & NM,323399,303626,266737,280444,227636
3,CA,271244,310215,200844,275116,271962
4,GA,2537334,3081681,2311024,2154890,2021699
5,KS & OK,732658,418653,385265,467960,611122
6,LA,255832,405205,244549,379220,264454
7,MO,315831,398195,382131,388113,320299
8,MS,1010780,1252567,931280,1156975,796379
9,NC & VA,957083,1225135,944152,1011184,877583
10,SC,389439,433428,314224,318527,278689
11,TN,1103197,1356098,1316624,1475746,853965
12,TX,7696688,3345529,3054862,4462949,5574017
