,Region,2021,2022,2023,2024,2025
0,AL & FL,712932,880277,768472,719602,618682
1,AR,1241246,1456441,1256706,1701162,1334892
2,AZ & NM,389489,389744,297541,334174,276273
3,CA,276752,323516,204297,285457,304939
4,GA,2963766,3421963,2614915,2649372,2457529
5,KS & OK,829948,471448,399173,531224,788387
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382222,388113,320299
8,MS,1143720,1280834,1022636,1256806,938576
9,NC & VA,1063438,1346840,1095557,1188451,1043603
10,SC,411391,444456,328155,340405,292213
11,TN,1153163,1509917,1502323,1694681,994188
12,TX,8559985,3581847,3379040,5176039,6557452
