,Region,2021,2022,2023,2024,2025
0,AL & FL,729297,890384,777548,720843,626436
1,AR,1265439,1491377,1267096,1732548,1348739
2,AZ & NM,390822,394725,301914,338987,277851
3,CA,276933,323517,204697,285457,304939
4,GA,3158214,3580731,2742221,2849759,2598106
5,KS & OK,830571,492607,406675,540974,831650
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1185051,1355682,1078610,1392232,1026368
9,NC & VA,1096693,1378404,1136386,1251910,1082088
10,SC,431389,458443,337992,361256,294777
11,TN,1188616,1540436,1596227,1778855,1072840
12,TX,8869643,3725013,3572740,5481385,7191429
