,Region,2021,2022,2023,2024,2025
0,AL & FL,729297,890384,777548,720843,626436
1,AR,1265879,1492059,1267096,1732548,1348739
2,AZ & NM,390822,394725,301914,338987,277851
3,CA,276933,323517,204697,285457,304939
4,GA,3161857,3585620,2742221,2849759,2600895
5,KS & OK,830571,494012,406675,540974,832178
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1185317,1359414,1078610,1392232,1027177
9,NC & VA,1097854,1378404,1136386,1251910,1082088
10,SC,432106,458443,337992,361256,294777
11,TN,1188792,1542621,1596227,1778855,1075169
12,TX,8872560,3726156,3572740,5481385,7206778
