,Region,2021,2022,2023,2024,2025
0,AL & FL,702878,875823,759937,717490,614973
1,AR,1234511,1436376,1227681,1689417,1325464
2,AZ & NM,388416,387900,295957,332691,274166
3,CA,276752,323516,204183,285393,304939
4,GA,2900363,3385721,2572893,2578464,2401362
5,KS & OK,829851,465035,391739,512312,766841
6,LA,255946,414424,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1113383,1265363,1000346,1231536,911306
9,NC & VA,1048720,1327774,1071198,1168386,1010269
10,SC,405837,440620,324541,337347,291256
11,TN,1148914,1482878,1454338,1668021,980506
12,TX,8478991,3543302,3280821,5087557,6362975
