,Region,2021,2022,2023,2024,2025
0,AL & FL,728245,890208,777548,720843,626436
1,AR,1264570,1477083,1267026,1731942,1344553
2,AZ & NM,390229,394725,301558,336203,276543
3,CA,276933,323517,204697,285457,304939
4,GA,3135098,3556796,2731684,2828677,2587982
5,KS & OK,830571,489882,406675,540974,828660
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1183443,1339027,1067954,1380796,1017702
9,NC & VA,1090871,1376822,1134891,1246050,1079675
10,SC,427898,456216,337909,359512,294689
11,TN,1184841,1535266,1585544,1752752,1055351
12,TX,8820283,3696066,3536697,5452029,7079895
