,Region,2021,2022,2023,2024,2025
0,AL & FL,27260,147096,117613,149296,115096
1,AR,209810,305113,396138,492283,353324
2,AZ & NM,15803,23583,18062,22715,10240
3,CA,29011,24548,5994,15826,16220
4,GA,108046,327241,150770,136209,158228
5,KS & OK,57395,27315,28807,41258,37257
6,LA,69526,225704,179103,190053,114692
7,MO,40764,84652,86311,110034,55839
8,MS,146898,429588,365959,459539,249205
9,NC & VA,104109,183323,58478,42465,57113
10,SC,29052,52652,17322,26983,11335
11,TN,142512,268186,332345,390877,227332
12,TX,1528016,1277606,1164150,1448649,1286371
