,Region,2021,2022,2023,2024,2025
0,AL & FL,696688,871786,758084,717226,610369
1,AR,1231019,1427477,1219656,1678281,1321438
2,AZ & NM,388019,385923,295460,331770,271106
3,CA,276743,323477,203899,285393,304939
4,GA,2848448,3360542,2544780,2529690,2378204
5,KS & OK,828381,455918,390598,506856,755987
6,LA,255930,414167,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1100001,1262650,975279,1208445,903365
9,NC & VA,1027199,1309012,1051536,1153239,993591
10,SC,402431,440444,322388,333885,291082
11,TN,1148677,1475551,1438970,1652597,974744
12,TX,8417799,3524479,3212940,5022383,6294484
