,Region,2021,2022,2023,2024,2025
0,AL & FL,728068,890208,777548,720579,626436
1,AR,1264042,1476825,1266930,1730680,1341514
2,AZ & NM,390229,394725,301378,336203,276273
3,CA,276933,323517,204697,285457,304939
4,GA,3125955,3551697,2720299,2799900,2578371
5,KS & OK,830571,488653,406414,540974,827382
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1182549,1333463,1046806,1366584,1013396
9,NC & VA,1088816,1376022,1131802,1240890,1075771
10,SC,427545,455866,337561,356290,294120
11,TN,1184821,1533703,1580436,1734831,1048341
12,TX,8813772,3687968,3519142,5428225,7027192
