,Region,2021,2022,2023,2024,2025
0,AL & FL,685357,864973,745143,716434,607806
1,AR,1215750,1401366,1192250,1650252,1316332
2,AZ & NM,381056,375776,291036,328853,266556
3,CA,276382,322925,203807,284928,304091
4,GA,2755954,3309257,2485043,2407348,2262473
5,KS & OK,812616,437018,390548,496384,708099
6,LA,255930,413991,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1076863,1258767,943768,1187162,877375
9,NC & VA,989799,1284181,1003758,1112939,943869
10,SC,398047,439407,320722,328635,286989
11,TN,1142291,1453844,1416393,1593187,947043
12,TX,8278584,3483692,3150859,4856224,6141652
