,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,0,0,0,27877,0,46010,576,1167,47753
1,AR,0,0,0,91425,0,217528,433,1673,219634
2,AZ & NM,0,0,0,17434,0,125423,3766,2238,131427
3,CA,0,0,0,4695,0,84978,3806,3562,92346
4,GA,0,0,79,111355,0,232287,6478,2880,241645
5,KS & OK,0,0,0,3571,0,11554,525,1269,13348
6,LA,0,0,0,8278,0,14379,195,1270,15844
7,MO,0,0,0,21336,0,47297,67,383,47747
8,MS,0,0,0,141193,0,270376,1781,3134,275291
9,NC & VA,0,0,0,125236,0,262316,3640,2740,268696
10,SC,0,0,0,17923,0,49657,354,527,50538
11,TN,0,0,9959,115764,0,362134,1806,3051,366991
12,TX,128183,128183,15868,107020,128182,626648,20593,40339,815762
13,--TOTAL,128183,128183,25906,793107,128182,2350587,44020,64233,2587022
