,State,Total Issued 2026,Total New Issued 2026,Held by CCC 2026,Under Shipping Order,Open 2026,Open 2025,Open 2024,Open 2023 and earlier,Total Open
0,AL & FL,0,0,0,26002,0,64685,824,1079,66588
1,AR,0,0,0,119929,0,245483,2071,849,248403
2,AZ & NM,0,0,0,2698,0,100721,5329,2339,108389
3,CA,0,0,0,18662,0,72059,17467,2747,92273
4,GA,0,0,0,96561,0,185786,11346,3770,200902
5,KS & OK,0,0,0,6985,0,33381,136,247,33764
6,LA,0,0,0,9241,0,14408,274,647,15329
7,MO,0,0,0,19292,0,59487,429,144,60060
8,MS,0,0,0,112782,0,182312,1258,1336,184906
9,NC & VA,0,0,0,71727,0,183020,3874,3528,190422
10,SC,0,0,0,16103,0,38271,317,609,39197
11,TN,0,0,0,81363,0,291405,5253,953,297611
12,TX,10987,10987,0,200700,10987,955204,36628,41945,1044764
13,--TOTAL,10987,10987,0,782045,10987,2426222,85206,60193,2582608
