,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,715618,705498,109869,148898,384062,1424,626,717,386829
1,AR,1646220,1582512,804806,146750,1007976,2460,2153,832,1013421
2,AZ & NM,328267,324133,138959,48461,235999,5068,3388,563,245018
3,CA,284928,284928,164347,8664,195851,5700,3097,1252,205900
4,GA,2388078,1948707,334940,604379,1365661,12827,1578,2083,1382149
5,KS & OK,495497,425125,92456,79099,293450,1343,833,446,296072
6,LA,379254,379254,115985,26334,148722,589,906,551,150768
7,MO,388113,388113,192623,23595,227219,69,247,250,227785
8,MS,1185133,1104037,611047,84936,720380,8604,2727,905,732616
9,NC & VA,1105728,988152,292444,151836,749958,8259,2598,1050,761865
10,SC,327877,319997,128163,46461,211131,777,199,392,212499
11,TN,1585794,1395893,893415,120325,1115921,4609,880,2607,1124017
12,TX,4826155,4023116,505951,706564,2080201,37455,24591,22248,2164495
13,--TOTAL,15656662,13869465,4385005,2196302,8736531,89184,43823,33896,8903434
