,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,605196,599489,185000,124007,432305,2485,310,1077,436177
1,AR,1279653,1237249,939710,101069,1041607,10417,162,1501,1053687
2,AZ & NM,237078,237078,156729,34736,220907,26327,2083,1667,250984
3,CA,283045,283045,191014,30424,250682,31739,2968,3365,288754
4,GA,2077830,1796277,481253,574307,1535888,32265,4986,2830,1575969
5,KS & OK,648396,637590,103340,104234,489640,1073,139,521,491373
6,LA,264542,264278,123928,29234,160919,363,114,1269,162665
7,MO,320299,320299,237024,23227,264325,1220,37,198,265780
8,MS,817092,699796,492597,70157,575755,6710,371,2754,585590
9,NC & VA,894148,829791,211081,180580,661348,17181,2826,2127,683482
10,SC,278777,274018,151491,30200,235537,1874,196,524,238131
11,TN,872689,827064,668910,59025,733112,20806,1403,1782,757103
12,TX,5788178,5129693,2025154,637279,3946629,146633,18043,33943,4145248
13,--TOTAL,14366923,13135667,5967231,1998479,10548654,299093,33638,53558,10934943
