,Region,2021,2022,2023,2024,2025
0,AL & FL,729297,890384,777548,720843,627112
1,AR,1266671,1492763,1267272,1733171,1349099
2,AZ & NM,390822,394725,302184,338987,277851
3,CA,276933,323517,204697,285457,304939
4,GA,3168255,3590359,2745754,2856240,2606269
5,KS & OK,830901,494803,406675,541150,833752
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1185675,1362466,1080578,1399667,1033257
9,NC & VA,1099182,1378660,1136386,1255868,1083424
10,SC,433541,458868,338536,361946,294777
11,TN,1206155,1546433,1602243,1791257,1079648
12,TX,8881378,3728665,3576916,5509284,7241023
