,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,315803,315803,102059,29113,308395,7169,315,1108,316987
1,AR,842767,842683,616539,48921,839340,48805,205,1520,889870
2,AZ & NM,38442,38442,19752,18550,38442,52975,2576,1758,95751
3,CA,92141,92141,69412,5178,91967,52948,3029,3365,151309
4,GA,640401,636831,151152,79787,631087,71752,5877,2822,711538
5,KS & OK,164112,164112,37054,4003,162180,3830,476,833,167319
6,LA,213176,213176,157592,17458,206744,2161,114,1270,210289
7,MO,169420,169420,118977,11382,169332,10520,37,200,180089
8,MS,592440,591824,492302,26235,584775,26221,386,3039,614421
9,NC & VA,362659,362573,127754,47409,354849,57924,3185,2413,418371
10,SC,67867,67599,36111,12506,67483,13423,254,526,81686
11,TN,591864,585848,415143,71924,582780,88852,1577,1830,675039
12,TX,2449585,2369099,613249,273063,2015381,247408,18798,38693,2320280
13,--TOTAL,6540677,6449551,2957096,645529,6052755,683988,36829,59377,6832949
