,Region,2021,2022,2023,2024,2025
0,AL & FL,527781,692020,641719,615138,529493
1,AR,1048354,1103498,1067042,1338571,1179831
2,AZ & NM,182091,162486,142012,140325,107693
3,CA,221627,240002,159027,195270,189248
4,GA,1650000,2248194,1629336,1465533,1384236
5,KS & OK,461025,289964,300561,332535,361843
6,LA,254451,396839,244245,374235,262368
7,MO,248218,323879,326720,344325,271641
8,MS,899794,1215839,920555,1109318,705662
9,NC & VA,836156,1026367,803824,830385,732903
10,SC,260256,292211,229484,245199,194399
11,TN,973639,1141216,1164788,1316501,765938
12,TX,5591886,2755362,2724998,3556045,4003275
