,Region,2021,2022,2023,2024,2025
0,AL & FL,677908,859189,743114,711894,606750
1,AR,1204561,1366846,1160052,1632681,1297540
2,AZ & NM,370474,361581,278715,320580,255617
3,CA,274287,320726,203241,282716,293867
4,GA,2677034,3220748,2420784,2332056,2156794
5,KS & OK,789710,425850,389846,481481,677358
6,LA,255930,413023,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1045087,1255800,937897,1167542,841936
9,NC & VA,976152,1260772,956194,1069704,912988
10,SC,396999,439236,315694,324424,280713
11,TN,1132076,1402638,1376650,1540215,915493
12,TX,8096019,3431571,3088798,4691867,5959176
