,Region,2021,2022,2023,2024,2025
0,AL & FL,320688,510811,476253,499755,410608
1,AR,796435,849612,919535,1113240,998357
2,AZ & NM,96041,93321,76347,71257,58024
3,CA,157463,167752,103499,129518,124192
4,GA,932444,1492323,1054604,958353,901244
5,KS & OK,304821,179727,198431,214929,230640
6,LA,227405,378189,241180,347410,238688
7,MO,173265,245378,247313,289343,209884
8,MS,695906,1021535,851792,995787,649568
9,NC & VA,572590,730626,570846,566797,502628
10,SC,165145,200017,147074,169750,104425
11,TN,708938,839489,953684,1092196,676584
12,TX,4052932,2108555,2141653,2717514,3015563
