,Region,2021,2022,2023,2024,2025
0,AL & FL,729473,890386,777724,720843,632251
1,AR,1267810,1499841,1268857,1740706,1349264
2,AZ & NM,390998,394725,302874,339115,278895
3,CA,276935,323517,204697,285457,304939
4,GA,3284696,3703014,2792489,2903982,2636579
5,KS & OK,877500,520638,406675,541150,836921
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1193098,1397450,1088355,1435844,1062399
9,NC & VA,1111798,1383753,1150116,1275700,1088007
10,SC,438800,465491,340038,363603,294777
11,TN,1231123,1563074,1615569,1857476,1117365
12,TX,8977877,3806280,3683290,5621679,7448573
