,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,717226,705962,75766,143335,302905,1142,626,717,305390
1,AR,1678281,1582512,541506,273227,888946,1854,1084,832,892716
2,AZ & NM,331770,327636,139752,38306,221195,4771,2727,553,229246
3,CA,285393,285393,139424,9294,170662,4692,2784,1225,179363
4,GA,2529690,1949246,166460,579883,1104213,11712,1497,2081,1119503
5,KS & OK,506856,425128,22761,91520,243362,795,833,446,245436
6,LA,379254,379254,59224,34898,113902,586,906,551,115945
7,MO,388113,388113,125471,50588,186301,69,247,250,186867
8,MS,1208445,1104889,384354,146355,639205,7780,2547,905,650437
9,NC & VA,1153239,995365,179559,158998,668365,7277,2360,1047,679049
10,SC,333885,320402,49731,75899,177976,685,199,370,179230
11,TN,1652597,1410498,707066,215948,1038695,4044,880,2629,1046248
12,TX,5022383,4023562,374086,601339,1740872,32440,21506,21745,1816563
13,--TOTAL,16187132,13897960,2965160,2419590,7496599,77847,38196,33351,7645993
