,Region,2021,2022,2023,2024,2025
0,AL & FL,466033,634078,580613,583798,495600
1,AR,994736,1016521,1021721,1270624,1143187
2,AZ & NM,158159,138606,119861,115150,88585
3,CA,201329,216821,145616,171007,166746
4,GA,1430189,1994420,1415739,1287317,1242435
5,KS & OK,411540,251343,263513,287978,316765
6,LA,251240,393112,243905,367920,256978
7,MO,221743,294812,297212,325484,255713
8,MS,866254,1162376,900353,1089661,687406
9,NC & VA,773095,932363,738702,749192,667369
10,SC,238143,262574,199882,219505,165552
11,TN,927947,1042269,1109870,1253464,743924
12,TX,5127130,2549623,2555221,3278167,3666660
