,Region,2021,2022,2023,2024,2025
0,AL & FL,705689,877931,759937,717490,614973
1,AR,1235386,1440614,1229106,1689417,1326544
2,AZ & NM,388475,387988,296147,332691,274166
3,CA,276752,323516,204183,285393,304939
4,GA,2908643,3394078,2574604,2578464,2406148
5,KS & OK,829914,467234,392617,512312,770350
6,LA,255946,414424,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1120877,1266594,1005074,1231536,913724
9,NC & VA,1053159,1331993,1075076,1169183,1014410
10,SC,406268,440886,324541,337347,291519
11,TN,1149090,1487302,1456456,1668072,980506
12,TX,8497892,3551987,3295446,5087557,6385996
