,Region,2021,2022,2023,2024,2025
0,AL & FL,215777,402994,365774,393890,302804
1,AR,621304,682391,773868,913939,824889
2,AZ & NM,62406,67028,51008,47335,34399
3,CA,125689,124299,65529,87993,90630
4,GA,650128,1129933,730207,640851,611142
5,KS & OK,216436,117551,138670,151665,157443
6,LA,200225,355797,228761,310220,210177
7,MO,136535,198755,195770,235880,164205
8,MS,543523,863368,750547,840949,583524
9,NC & VA,424002,559784,397169,373759,338918
10,SC,121516,154065,101966,116486,62832
11,TN,526019,659954,765677,853667,575601
12,TX,3226313,1754679,1722674,2265899,2375585
