,Region,2021,2022,2023,2024,2025
0,AL & FL,60878,212948,181781,215620,164320
1,AR,318795,405097,504579,635431,485533
2,AZ & NM,22665,28238,21840,27424,13552
3,CA,44178,41719,13979,35570,38708
4,GA,202996,516024,264721,254120,261784
5,KS & OK,90633,46155,51458,68955,64796
6,LA,105618,276201,197655,232719,142553
7,MO,65269,113064,110995,147913,87947
8,MS,236072,542480,474576,593056,361429
9,NC & VA,179804,276482,131051,123851,125298
10,SC,44621,78464,35197,47881,21948
11,TN,241705,369847,449699,530129,335911
12,TX,1916124,1356748,1236327,1699159,1511945
