,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,720219,705962,36401,90805,192733,814,626,682,194855
1,AR,1713481,1582512,352723,255281,697022,1551,1073,781,700427
2,AZ & NM,335274,331055,130447,20583,194980,4624,2598,539,202741
3,CA,285457,285457,115558,5174,149710,4244,2751,1212,157917
4,GA,2706630,1949408,82014,466726,763079,10514,1393,1838,776824
5,KS & OK,537031,425132,12519,90934,178377,769,833,440,180419
6,LA,379254,379254,39486,22053,77430,387,858,549,79224
7,MO,388113,388113,80872,50014,141558,69,247,250,142124
8,MS,1289651,1104908,255102,225037,568790,7871,2541,905,580107
9,NC & VA,1208086,1002428,90724,165507,557785,6591,2053,1047,567476
10,SC,343494,321197,35846,64157,136081,593,199,370,137243
11,TN,1704499,1410498,393816,275013,860357,3927,868,2632,867784
12,TX,5252983,4023854,305465,401830,1323204,26993,20342,21741,1392280
13,--TOTAL,16864172,13909778,1930973,2133114,5841106,68947,36382,32986,5979421
