,Region,2021,2022,2023,2024,2025
0,AL & FL,633301,785789,724370,682846,580487
1,AR,1144268,1218908,1135872,1529047,1238241
2,AZ & NM,250736,229379,215198,208982,164749
3,CA,265045,284210,195636,251781,242018
4,GA,2228152,2767793,2090496,1908977,1786537
5,KS & OK,608385,363515,366118,425051,499962
6,LA,255700,398350,244542,379169,264248
7,MO,296968,384272,367065,376305,313203
8,MS,950983,1241029,930302,1142682,754029
9,NC & VA,934708,1175823,918791,974095,820797
10,SC,331969,379852,284298,297011,254603
11,TN,1057254,1269531,1261236,1422294,820027
12,TX,6770685,3151184,2967583,4171923,4956212
