,Region,2021,2022,2023,2024,2025
0,AL & FL,446583,615945,573040,568150,479885
1,AR,964468,997592,1017508,1243155,1129820
2,AZ & NM,150817,133923,116869,104260,82744
3,CA,195401,210854,141098,164575,162841
4,GA,1348368,1927365,1389576,1211214,1183953
5,KS & OK,392937,243187,259028,272400,302872
6,LA,249736,392604,243905,361002,255366
7,MO,213108,288970,293499,315467,249029
8,MS,852949,1151068,898769,1073496,678802
9,NC & VA,740712,901895,724172,705086,637962
10,SC,223390,256119,194793,211163,153043
11,TN,894959,1025571,1105957,1225706,735231
12,TX,4957090,2497689,2523685,3165661,3558248
