,Region,2021,2022,2023,2024,2025
0,AL & FL,70600,224897,190894,223847,166216
1,AR,336731,419973,521602,640012,493346
2,AZ & NM,25097,29610,23140,27781,13552
3,CA,51892,45174,18879,37172,38708
4,GA,223096,554424,288607,264265,267632
5,KS & OK,98129,48649,56808,71150,66009
6,LA,114889,282644,201240,233964,142868
7,MO,67833,117733,119437,149129,90639
8,MS,266441,567427,496453,599650,361429
9,NC & VA,195726,293608,146653,132996,130758
10,SC,51520,84629,37843,52860,21948
11,TN,260349,394569,468095,537148,337964
12,TX,1996212,1377353,1250596,1719849,1539366
