,Region,2021,2022,2023,2024,2025
0,AL & FL,675769,859189,743114,711189,606662
1,AR,1202805,1366846,1159092,1630493,1293502
2,AZ & NM,368962,361581,278715,314960,244851
3,CA,274287,320188,203241,282222,288171
4,GA,2672561,3219711,2413537,2311642,2133670
5,KS & OK,787192,425850,389846,479723,672278
6,LA,255930,413023,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1043130,1255800,937809,1166400,833482
9,NC & VA,975262,1260683,955492,1056585,907407
10,SC,396999,439236,315694,324177,279569
11,TN,1131028,1402638,1372890,1536248,904684
12,TX,8078586,3431571,3087780,4665484,5919511
