,Region,2021,2022,2023,2024,2025
0,AL & FL,729473,890386,,720843,632251
1,AR,1267810,1499841,,1740693,1349264
2,AZ & NM,390822,394725,,339115,278895
3,CA,276935,323517,,285457,304939
4,GA,3264606,3683033,,2899646,2630848
5,KS & OK,871737,513101,,541150,836921
6,LA,256000,414776,,379254,264630
7,MO,315831,398195,,388113,320299
8,MS,1192754,1392503,,1432527,1056343
9,NC & VA,1110928,1383305,,1274613,1087116
10,SC,437910,464787,,363603,294777
11,TN,1225742,1558970,,1849255,1117039
12,TX,8963226,3785631,,5601559,7418780
