,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,628540,599839,8905,44688,114519,828,304,1060,116711
1,AR,1349099,1240091,81880,225536,429756,3812,138,1155,434861
2,AZ & NM,277940,271867,98150,16382,137231,7393,1633,1641,147898
3,CA,304939,304939,78805,14980,113133,21086,1984,1062,137265
4,GA,2609706,1798901,28522,203902,366246,16046,2102,2659,387053
5,KS & OK,834016,760011,39762,108647,231198,337,126,239,231900
6,LA,264630,264278,4973,16827,30524,274,105,542,31445
7,MO,320299,320299,41536,40280,103125,430,15,129,103699
8,MS,1040337,699823,30874,183009,318480,1620,380,1110,321590
9,NC & VA,1083691,836142,23416,88699,284837,5584,2481,1874,294776
10,SC,294777,275088,3349,42013,78791,466,164,447,79868
11,TN,1092441,850589,194765,156602,458824,8817,516,763,468920
12,TX,7291822,5208121,266930,463200,1742028,62162,15758,29996,1849944
13,--TOTAL,17392237,13429988,901867,1604765,4408692,128855,25706,42677,4605930
