,Region,2021,2022,2023,2024,2025
0,AL & FL,724899,885021,772448,720219,623705
1,AR,1249542,1462585,1260543,1713481,1338556
2,AZ & NM,390213,393160,298271,335274,276273
3,CA,276752,323517,204597,285457,304939
4,GA,3026919,3458230,2641650,2706630,2506524
5,KS & OK,830533,475934,403284,537031,809277
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382310,388113,320299
8,MS,1160868,1296993,1034356,1289651,971280
9,NC & VA,1072946,1355402,1112684,1208086,1063946
10,SC,417453,447987,331843,343494,293419
11,TN,1170778,1524414,1527676,1704499,1009891
12,TX,8659181,3606445,3422894,5252983,6716328
